"['Aaliyah Blair', 'Aaliyah Boyd', 'Aaliyah Grimes', 'Aaliyah Gutierrez']",Male,"[2012, 2014, 2015, 2017]","[10977, 11083, 11480, 11932]",Bachelors,Grupo ACS,Pune,3,26,No,4,1
"['Aaliyah Blair', 'Aaliyah Boyd', 'Aaliyah Grimes', 'Aaliyah Gutierrez']",Male,"[2012, 2014, 2015, 2017]","[10977, 11083, 11480, 11932]",Bachelors,BCG (Boston Consulting Group),Bangalore,3,28,No,5,0
"['Aaliyah Blair', 'Aaliyah Boyd', 'Aaliyah Grimes', 'Aaliyah Gutierrez']",Male,"[2012, 2014, 2015, 2017]","[10977, 11083, 11480, 11932]",Masters,Energie AG Oberoesterreich,New Delhi,2,26,Yes,4,1
"['Aaliyah Blair', 'Aaliyah Boyd', 'Aaliyah Grimes', 'Aaliyah Gutierrez']",Male,"[2012, 2014, 2015, 2017]","[10977, 11083, 11480, 11932]",Bachelors,Raiffeisen Bank International,Bangalore,3,25,No,3,0
"['Aaliyah Perez', 'Aaliyah Wilkinson', 'Aaliyah Williams', 'Aaron Becker']","['Female', 'Male']","[2012, 2013, 2017, 2018]","[10151, 10348, 10652, 11326]",Bachelors,Fosun International,New Delhi,3,27,No,5,1
"['Aaliyah Perez', 'Aaliyah Wilkinson', 'Aaliyah Williams', 'Aaron Becker']","['Female', 'Male']","[2012, 2013, 2017, 2018]","[10151, 10348, 10652, 11326]",Masters,Adaro Energy,Pune,2,27,No,5,0
"['Aaliyah Perez', 'Aaliyah Wilkinson', 'Aaliyah Williams', 'Aaron Becker']","['Female', 'Male']","[2012, 2013, 2017, 2018]","[10151, 10348, 10652, 11326]",Bachelors,Mirae Asset Financial Group,New Delhi,3,25,No,3,0
"['Aaliyah Perez', 'Aaliyah Wilkinson', 'Aaliyah Williams', 'Aaron Becker']","['Female', 'Male']","[2012, 2013, 2017, 2018]","[10151, 10348, 10652, 11326]",Bachelors,Mediclinic International,Pune,3,25,No,3,0
"['Aaron Burgess', 'Aaron Chan', 'Aaron Dawson', 'Aaron Hall']","['Female', 'Male']","[2012, 2013, 2017]","[10347, 10915, 11174, 11596]",Masters,Abbott Laboratories,New Delhi,1,24,Yes,2,1
"['Aaron Burgess', 'Aaron Chan', 'Aaron Dawson', 'Aaron Hall']","['Female', 'Male']","[2012, 2013, 2017]","[10347, 10915, 11174, 11596]",Bachelors,Celltrion Healthcare,Bangalore,3,27,No,5,0
